U+8FDA	迚
U+8FF8	迸
U+8FF9	迹
U+9005	逅
U+9015	逕
U+9021	逡
U+9050	遐
U+9056	遖
U+9080	邀
U+9082	邂
U+908F	邏
U+90AF	邯
U+90E2	郢
U+9102	鄂
U+9112	鄒
U+9132	鄲
U+914A	酊
U+9163	酣
U+9165	酥
U+9169	酩
U+9182	醂
U+91AA	醪
U+91B5	醵
U+91C1	釁
U+91D0	釐
U+9211	鈑
U+9215	鈕
U+923F	鈿
U+9248	鉈
U+924B	鉋
U+925E	鉞
U+9296	銖
U+929B	銛
U+929C	銜
U+92B7	銷
U+92B9	銹
U+92E9	鋩
U+92FA	鋺
U+930F	錏
U+931A	錚
U+9323	錣
U+9335	錵
U+936E	鍮
U+9394	鎔
U+93AC	鎬
U+93B9	鎹
U+93C3	鏃
U+93C8	鏈
U+93D6	鏖
U+93D8	鏘
U+93DD	鏝
U+93E4	鏤
U+93E8	鏨
U+9403	鐃
U+9414	鐔
U+941A	鐚
U+9436	鐶
U+943A	鐺
U+945E	鑞
U+9460	鑠
U+9462	鑢
U+9475	鑵
U+9477	鑷
U+947C	鑼
U+947D	鑽
U+947F	鑿
U+9582	閂
U+958A	閊
U+9598	閘
U+95AD	閭
U+95BC	閼
U+95C3	闃
U+95CC	闌
U+95D5	闕
U+95D6	闖
U+95E2	闢
U+964B	陋
U+966C	陬
U+9697	隗
U+9698	隘
U+96B4	隴
U+96B9	隹
U+96F9	雹
U+9704	霄
U+970D	霍
U+970F	霏
U+9711	霑
U+9716	霖
U+9719	霙
U+9739	霹
U+973D	霽
U+973E	霾
U+9742	靂
U+9760	靠
U+9768	靨
U+976B	靫
U+977A	靺
U+977C	靼
U+9785	鞅
U+9786	鞆
U+978F	鞏
U+9790	鞐
U+97A3	鞣
U+97A6	鞦
U+97A8	鞨
U+97C3	韃
U+97C6	韆
U+97DC	韜
U+97ED	韭
U+97F5	韵
U+986B	顫
U+9870	顰
U+9871	顱
U+9874	顴
U+98B1	颱
U+98B6	颶
U+98C4	飄
U+98E9	飩
U+9903	餃
U+9909	餉
U+9918	餘
U+991E	餞
U+9921	餡
U+992C	餬
U+9942	饂
U+994C	饌
U+9950	饐
U+9951	饑
U+9997	馗
U+9998	馘
U+99AD	馭
U+99D1	駑
U+99D8	駘
U+99DD	駝
U+99DF	駟
U+99ED	駭
U+99EE	駮
U+99F1	駱
U+9A05	騅
U+9A0F	騏
U+9A3E	騾
U+9A40	驀
U+9A55	驕
U+9A5F	驟
U+9A62	驢
U+9A64	驤
U+9A65	驥
U+9AAD	骭
U+9AB0	骰
U+9AC0	髀
U+9ACF	髏
U+9AD1	髑
U+9AE2	髢
U+9AE3	髣
U+9AEF	髯
U+9AF1	髱
U+9AF4	髴
U+9B06	鬆
U+9B1F	鬟
U+9B23	鬣
U+9B29	鬩
U+9B32	鬲
U+9B3B	鬻
U+9B43	魃
U+9B44	魄
U+9B51	魑
U+9B83	鮃
U+9B91	鮑
U+9B93	鮓
U+9B97	鮗
U+9B9F	鮟
U+9BA0	鮠
U+9BB4	鮴
U+9BC0	鯀
U+9BCA	鯊
U+9BD2	鯒
U+9BD4	鯔
U+9BE1	鯡
U+9BE3	鯣
U+9BE4	鯤
U+9BF0	鯰
U+9BF1	鯱
U+9C06	鰆
U+9C08	鰈
U+9C09	鰉
U+9C0C	鰌
U+9C12	鰒
U+9C21	鰡
U+9C24	鰤
U+9C25	鰥
U+9C2E	鰮
U+9C30	鰰
U+9C3E	鰾
U+9C47	鱇
U+9C5A	鱚
U+9C60	鱠
U+9C67	鱧
U+9C76	鱶
U+9C78	鱸
U+9CE7	鳧
U+9CF0	鳰
U+9D06	鴆
U+9D08	鴈
U+9D12	鴒
U+9D1F	鴟
U+9D23	鴣
U+9D3F	鴿
U+9D44	鵄
U+9D46	鵆
U+9D50	鵐
U+9D51	鵑
U+9D59	鵙
U+9D5E	鵞
U+9D64	鵤
U+9D6F	鵯
U+9D72	鵲
U+9D7A	鵺
U+9D89	鶉
U+9D9A	鶚
U+9DA9	鶩
U+9DAB	鶫
U+9DB2	鶲
U+9DB8	鶸
U+9DBA	鶺
U+9DC1	鷁
U+9DC2	鷂
U+9DD3	鷓
U+9DE6	鷦
U+9DED	鷭
U+9DEF	鷯
U+9DF8	鷸
U+9DFD	鷽
U+9E1B	鸛
U+9E75	鹵
U+9E79	鹹
U+9E81	麁
U+9E9D	麝
U+9EA9	麩
U+9EAD	麭
U+9EBE	麾
U+9ECC	黌
U+9ED0	黐
U+9ED4	黔
U+9EE5	黥
U+9EF4	黴
U+9F07	鼇
U+9F08	鼈
U+9F15	鼕
U+9F2C	鼬
U+9F3E	鼾
U+9F4E	齎
U+9F63	齣
U+9F67	齧
U+9F72	齲
U+9F95	龕
