U+7B0B	笋
U+7B0F	笏
U+7B1E	笞
U+7B28	笨
U+7B33	笳
U+7B45	筅
U+7B4C	筌
U+7B4D	筍
U+7B50	筐
U+7B5D	筝
U+7B65	筥
U+7B67	筧
U+7B6C	筬
U+7B6E	筮
U+7B7A	筺
U+7B86	箆
U+7B8D	箍
U+7B99	箙
U+7B9A	箚
U+7B9C	箜
U+7B9D	箝
U+7BAA	箪
U+7BB4	箴
U+7BC1	篁
U+7BCB	篋
U+7BCC	篌
U+7BCF	篏
U+7BE5	篥
U+7BE6	篦
U+7BE9	篩
U+7BED	篭
U+7BF3	篳
U+7BF6	篶
U+7BF7	篷
U+7C07	簇
U+7C11	簑
U+7C12	簒
U+7C13	簓
U+7C14	簔
U+7C17	簗
U+7C1F	簟
U+7C23	簣
U+7C27	簧
U+7C2A	簪
U+7C2B	簫
U+7C37	簷
U+7C38	簸
U+7C3D	簽
U+7C40	籀
U+7C43	籃
U+7C4C	籌
U+7C50	籐
U+7C56	籖
U+7C5F	籟
U+7C64	籤
U+7C65	籥
U+7C75	籵
U+7C81	粁
U+7C83	粃
U+7C8D	粍
U+7CA4	粤
U+7CA8	粨
U+7CAE	粮
U+7CB1	粱
U+7CB2	粲
U+7CB3	粳
U+7CBD	粽
U+7CC0	糀
U+7CC2	糂
U+7CC5	糅
U+7CCE	糎
U+7CD2	糒
U+7CDC	糜
U+7CDF	糟
U+7CE2	糢
U+7CEF	糯
U+7CF2	糲
U+7CF4	糴
U+7CF6	糶
U+7CFA	糺
U+7D06	紆
U+7D0A	紊
U+7D15	紕
U+7D32	紲
U+7D45	絅
U+7D4E	絎
U+7D4F	絏
U+7D56	絖
U+7D5B	絛
U+7D6E	絮
U+7D72	絲
U+7D7D	絽
U+7D89	綉
U+7D8F	綏
U+7D93	經
U+7D9B	綛
U+7D9F	綟
U+7DA2	綢
U+7DAB	綫
U+7DAE	綮
U+7DAF	綯
U+7DB0	綰
U+7DB5	綵
U+7DC7	緇
U+7DD8	緘
U+7DDC	緜
U+7DDD	緝
U+7DDE	緞
U+7DE1	緡
U+7DEC	緬
U+7DF2	緲
U+7E05	縅
U+7E09	縉
U+7E0A	縊
U+7E0B	縋
U+7E12	縒
U+7E1F	縟
U+7E21	縡
U+7E22	縢
U+7E32	縲
U+7E35	縵
U+7E37	縷
U+7E39	縹
U+7E3A	縺
U+7E3B	縻
U+7E3D	總
U+7E43	繃
U+7E46	繆
U+7E4B	繋
U+7E56	繖
U+7E59	繙
U+7E5A	繚
U+7E5D	繝
U+7E5E	繞
U+7E66	繦
